,Area,Activity,Sex ,Age,Injury,Fatal (Y/N),Time,Species 
0,California,Paddling,F,57,"No injury to occupant, outrigger canoe and paddle damaged",N,18h00,White shark
6,Pernambuco,Swimming,M,18,FATAL,Y,Late afternoon,Tiger shark
8,Florida,Walking,M,15,Lower left leg bitten,N,17h00,"Bull shark, 6'"
10,Queensland,Feeding sharks,M,32,Minor bite to hand by captive shark. PROVOKED INCIDENT,N,Morning,Grey reef shark
13,Cornwall,Fishing,M,21,Injured by teeth of a dead porbeagle shark he was tossing overboard.,N,08h15,Invalid incident
18,Cocos Island,Scuba diving,M,30,"No injury, shark bit scuba gear",N,10h40,Tiger shark
21,Western Australia,Surfing,M,60,"No injury, knocked off board by shark",N,09h30,3 m shark
23,Alifu Alifu Atoll,Fishing,M,32,5-inch cut to hand,N,21h50,Tiger shark
24,Western Cape Province,Paddle-skiing,M,33,"No injury, shark bit hole in ski",N,09h40,"White shark, 2.5 m"
34,Eastern Cape Province,Surfing,M,19,Lacerations to left knee & lower leg,N,15h00,White shark
35,Hawaii,Stand-Up Paddleboarding,M,25,Injuries to right leg & hand,N,09h30,"Tiger shark, 12'"
36,Western Australia,Wading,M,10,Minor injuries to legs,N,17h35,Wobbegong shark
37,Victoria,Swimming,M,69,"No injury, said to have been charged by sharks several times",N,15h30,3.5 m shark
38,Victoria,Surfing,M,18,"Minor injury, ankle grazed",N,07h30,1.8 m shark
40,New South Wales,Swimming,F,55,Laceratons to right leg & foot,N,"19h00, Dusk","Juvenile white shark,  2.7 to 3.2 m"
42,New South Wales,Walking,M,35,Puncture wounds to leff foot & lower leg,N,16h00,"Bull shark, 2 m"
51,Fernando de Noronha,Surfing,M,20,Minor injury to left forearm,N,Late afternoon,small shark
53,Hawaii,Surfing,F,54,Severe lacerations to left thigh & knee,N,18h00,Tiger shark
60,California,Spearfishing,M,25,Right leg bitten,N,13h45,"White shark, 4.6 m"
63,New South Wales,Surfing,M,25,Puncture wounds to left shoulder,N,16h00,2 m shark
64,Holquin Province,Night bathing,M,22,FATAL,Y,23h30,Tiger shark
66,New South Wales,Surfing,M,31,Minor injury to foot,N,09h00,"Wobbegong shark, 1 m"
71,South Australia,Kayaking / Fishing,F,15,Minor injuries,N,Afternoon,"White shark, 4.5 m"
74,Hawaii,Surfing,M,54,Lacerations to left hand,N,18h30,"Tiger shark, 8 to 10 feet"
75,Hawaii,Snorkeling,F,40,Abrasions,N,12h30,8' shark
87,Florida,Surfing,M,18,Lacerations to left foot,N,18h45,5' to 6' shark
89,New South Wales,Surfing,M,35,Minor lacerations to right hip,N,06h00,"White shark, 3 to 3.5m "
96,Victoria,Surfing,M,37,"No injury, board bitten",N,10h30,"White shark, 3 m"
100,Massachusetts,SUP,M,69,Not injured by shark but board bitten,N,10h00,"White shark, 5' to 7'"
102,South Carolina,Swimming,M,13,Minor cuts to sole & toes of left foot,N,13h30,Possibly a juvenile blacktip shark
104,Massachusetts,Fishing,M,34,Foot bitten by landed shark PROVOKED INCIDENT,N,23h30,4' shark
116,California,Kayaking,M,40,"No injury, kayak bitten",N,11h20,"White shark, 11' to 13'"
117,California,SUP,M,50,"No injury, shark bit paddleboard",N,07h45,"White shark, 8' to 10'"
121,Florida,Swimming,M,46,Lower legs bitten,N,15h30,"Bull shark, 4' to 5'"
123,Eastern Cape Province,Surfing,F,13,"No injury, shark bit surfboard",N,15h00,"White shark, 2.5 m"
133,Western Australia,Body boarding,M,48,"No injury, board bitten",N,08h30,"White shark, 4 m"
138,New Providence ,Snorkeling,F,32,Right forearm severed ,N,Shortly before 12h00,Tiger shark
155,Western Australia,Surfing,F,17,FATAL,Y,16h00,White shark
156,Hawaii,Surfing,M,28,Lower right leg severely injured,N,09h00,"Tiger shark, 12'"
166,Florida,Swimming,F,17,Lacerations to thighs,N,15h00,"Bull shark, 5' to 7'"
183,Queensland,Scuba Diving,M,55,"Multiple injuries to arm, wrist and torso",N,12h00,"Bull shark, 4 m"
186,Bali,Surfing,M,48,Injury to right wrist & forearm,N,07h30,"Bull shark, 1 m"
192,Western Cape Province,Surf skiing ,M,55,"No injury, but ski severely damaged",N,07h00,"White shark, 4 m"
196,New South Wales,Surf fishing,M,20,Lacerations to both hands while attempting to land a hooked shark PROVOKED INCIDENT,N,02h00,"Wobbegong shark, 2m"
197,New South Wales,Surfing,M,65,Injuries to foot & arm,N,09h00,White shark
198,Victoria,Fishing,M,73,Laceration to right hand by hooked & gaffed shark. PROVOKED INCIDENT,N,11h00,"Broadnose sevengill shark, 1.5 m"
199,Hawaii,Floating,F,58,Injuries to right calf and thigh,N,10h30,Tiger shark
203,Hawaii,Surfing,M,36,Left arm and leg injured,N,17h00, 6' to 8' shark
211,New South Wales,Surfing,M,17,4 deep lacerations to thigh,N,9h00,"White shark, 3.5 m"
219,Florida,Wading,M,60s,Minor injury to arm,N,15h15,3' to 4' shark
220,Hawaii,Swimming,F,51,Severe lacerations to shoulder & forearm,N,14h30,"Tiger shark, 10'"
227,Florida,Surfing,M,25,Lacerations to right foot,N,15h00,"Bull shark, 6'"
232,Hawaii,SUP Foil boarding,M,21,"No inury, shark & board collided",N,16h30,"Tiger shark, 10' "
234,Alicante Province,Swimming,M,40,Lacerations to right hand,N,11h30,Blue shark
242,Queensland,Fishing,M,31,Laceration to left calf from hooked shark PROVOKED INCIDENT,N,After noon,"reef shark, 1m"
246,California,Kite surfing,M,61,"No injury, board damaged",N,17h00,"White shark, 10' to 12'"
251,Massachusetts,Fishing,M,59,Fin of hooked shark injured fisherman's forearm. . PROVOKED INCIDENT,N,10h00,dogfish shark
